KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
CPUExtenderSVT2,Small Vessel CPU Extender T2,,,,,,,,,,小型飞船CPU扩展器T2,,,,,,
CPUExtenderHVT4,Hover Vessel CPU Extender T4,,,,,,,,,,悬浮飞船CPU扩展器T4,,,,,,
CPUExtenderHVT3,Hover Vessel CPU Extender T3,,,,,,,,,,悬浮飞船CPU扩展器T3,,,,,,
CPUExtenderHVT2,Hover Vessel CPU Extender T2,,,,,,,,,,悬浮飞船CPU扩展器T2,,,,,,
RepairBayBA,Base Repair Bay,,,,,,,,,,基地修理舱,,,,,,
RepairBayCV,CV Repair Bay,,,,,,,,,,CV修理舱,,,,,,
RepairBayBAT2,Base Repair Bay (T2),,,,,,,,,,基地修理舱（T2）,,,,,,
RepairBayCVT2,CV Repair Bay (T2),,,,,,,,,,CV修理舱（T2）,,,,,,
ShieldGeneratorSV,Light Polarized Hull Shield (SV),,,,,,,,,,轻型极化船体护盾（SV）,,,,,,
ShieldGeneratorHV,Light Polarized Hull Shield (HV),,,,,,,,,,轻型极化船体护盾（HV）,,,,,,
ShieldGeneratorBA,Base Shield,,,,,,,,,,基地护盾,,,,,,
ShieldGeneratorBAT2,Base Shield,,,,,,,,,,基地护盾,,,,,,
ShieldGeneratorCV,Polarized Hull Shield,,,,,,,,,,极化船体护盾,,,,,,
ShieldGeneratorCVT2,Polarized Hull Shield,,,,,,,,,,极化船体护盾,,,,,,
MedicGun,Medical Injector,,,,,,,,,,医疗注射器,,,,,,
DetectorEx,Long-Range Detector (SV),,,,,,,,,,远程探测器（SV）,,,,,,
bkiDetectorEx,A highly advanced Small Vessel Detector that can scan entire planets and sectors at a time.,,,,,,,,,,一种高度先进的小型飞船探测器，可一次扫描整个星球和星区。,,,,,,
DetectorCVDeep,Deep Space Radar (CV),,,,,,,,,,深空雷达（CV）,,,,,,
bkiDetectorCVDeep,"The most advanced Detector, this device allows discovery of an entire planet or sector with just one ping. However, it takes a long time to recharge.",,,,,,,,,,最先进的探测器，只需一次脉冲即可发现整个星球或星区。但需要很长时间充电。,,,,,,
Medikit07,Universal Medical Kit,,,,,,,,,,通用医疗包,,,,,,
bkiMedikit07,All-in-one Med-kit that Restores around [c][ffffff]450 health[-][/c]. Use LMB from the toolbar or from Inventory with Shift+RMB.,,,,,,,,,,一体式医疗包，可恢复约[c][ffffff]450点生命[-][/c]。在工具栏中使用左键或从物品栏中使用Shift+右键。,,,,,,
CombatEVABoost,Combat EVA Boost,,,,,,,,,,战斗舱外活动增强器,,,,,,
JunkBike1,Junk Bike,,,,,,,,,,垃圾摩托车,,,,,,
ExpDetector,Explorer's Scope,,,,,,,,,,探索者瞄准镜,,,,,,
bkiExpDetector,A specialized device that can be used to scout out an area. Acts as a Detector and a Scope.,,,,,,,,,,一种专门用于侦察区域的设备。兼具探测器和瞄准镜功能。,,,,,,
rdlAttack,"Used to attack creatures and structures, capable of damaging any material. Can be use to harvest wood.",,,,,,,,,,用于攻击生物和建筑，能够破坏任何材料。可用于采集木材。,,,,,,
DetectorHVUber,High-Sensitivity Detector (HV),,,,,,,,,,高灵敏度探测器（HV）,,,,,,
bkiDetectorHVUber,"This Detector not only has a longer range than any other Hover Vessel Detector, but also immediately identifies anyting it detects.",,,,,,,,,,此探测器不仅比任何其他悬浮飞船探测器的范围更远，而且能立即识别检测到的任何东西。,,,,,,
GravityEngine,Graviton Thrust Drive,,,,,,,,,,引力子推进驱动器,,,,,,
bkiGravityEngine,"An gravity-based propulsion system that provides horizontal thrust in multiple directions. ",,,,,,,,,,一种基于重力的推进系统，提供多个方向的水平推力。,,,,,,
ThrusterSVLift,Lift Thruster,,,,,,,,,,升力推进器,,,,,,
bkiThrusterLift,Powerful Small Thruster unit for providing lift.,,,,,,,,,,用于提供升力的强大小型推进器单元。,,,,,,
ThrusterSVDescent,Descent Thruster,,,,,,,,,,下降推进器,,,,,,
bkiThrusterDescent,Powerful Small Thruster unit for descending.,,,,,,,,,,用于下降的强大小型推进器单元。,,,,,,
SpawnNewScout,Starter: [c][34c200]Scout Vessel [-][/c](SV),,,,,,,,,,新手：[c][34c200]侦察飞船[-][/c](SV),,,,,,
cpgGravEngine,Thruster (GTD),,,,,,,,,,推进器（GTD）,,,,,,
GravityEngineT2,Improved Graviton Thrust Drive,,,,,,,,,,改进型引力子推进驱动器,,,,,,
GravityEngineT3,Advanced Graviton Thrust Drive,,,,,,,,,,先进引力子推进驱动器,,,,,,
WarpDriveSVT2,Mid-Range Warp Drive,,,,,,,,,,中程翘曲引擎,,,,,,
bkiWarpDriveSVT2,"An advancement on the Short Range Warp Drive, the Mid-Range Warp Drive is capable of traveling to nearby star systems.",,,,,,,,,,中程翘曲引擎是短程翘曲引擎的升级版，能够前往附近的恒星系统。,,,,,,
WarpDriveSVT3,Advanced Scout Warp Drive,,,,,,,,,,先进侦察翘曲引擎,,,,,,
bkiWarpDriveSVT3,"This Small Vessel Warp Drive has been specially modified to explore deep space. Not only can it go further than most Capital Vessel Warp Drives, but it also uses no pentaxid when warping within a solar system.",,,,,,,,,,这艘小型飞船翘曲引擎经过特殊改装以探索深空。它不仅比大多数主力舰翘曲引擎飞得更远，而且在太阳系内翘曲时不消耗五亚甲素。,,,,,,
WarpDriveT2,Advanced Warp Drive,,,,,,,,,,先进翘曲引擎,,,,,,
bkiWarpDriveT2,"An enhancement to the Warp Drive that not only increases the range of the warp capability, but reduces Pentaxid use when traveling long distances.",,,,,,,,,,对翘曲引擎的增强，不仅增加翘曲能力的范围，还减少长途旅行时的五亚甲素消耗。,,,,,,
MobileAirConT2,Advanced Environemtnal Regulator,,,,,,,,,,先进环境调节器,,,,,,
bkiMobileAirConT2,Will warm you up or cool you down if you are close enough to the device. Can only change temperature up to a maximum limit! Will also reduce Radiation.,,,,,,,,,,如果你足够接近该设备，它会让你变暖或变凉。只能改变温度到最大极限！也会减少辐射。,,,,,,
ArmorOxygen,Oxygen Suit,,,,,,,,,,氧气防护服,,,,,,
bkiArmorOxygen,A Light Environmental Suit that only servers to provide Oxygen in an unbreathable atmosphere.\n--\n[c][ff4040]Note: This armor requires an Armor Locker to equip.[-][/c],,,,,,,,,,一种轻型环境防护服，仅用于在不可呼吸的大气中提供氧气。\n--\n[c][ff4040]注意：此装甲需要装甲柜来装备。[-][/c],,,,,,
ArmorLightEnv,Light Environmental Armor,,,,,,,,,,轻型环境装甲,,,,,,
bkiLightEnv,A Light Armor that provides improved protection from temperature and radiation.\n--\nNote: This a can be equipped in the player inventory ([c][44ff00]TAB[-][/c]),,,,,,,,,,一种轻型装甲，提供改进的温度和辐射防护。\n--\n注意：此装甲可以在玩家物品栏中装备（[c][44ff00]TAB[-][/c]）,,,,,,
ArmorLightScout,Light Scout Armor,,,,,,,,,,轻型侦察装甲,,,,,,
ArmorMediumScout,Medium Scout Armor,,,,,,,,,,中型侦察装甲,,,,,,
bkiScoutArmor,Scout armor is designed to make it easier to move and get around obstacles.\n--\n[c][ff4040]Note: This armor requires an Armor Locker to equip.[-][/c],,,,,,,,,,侦察装甲旨在让移动和绕过障碍物更容易。\n--\n[c][ff4040]注意：此装甲需要装甲柜来装备。[-][/c],,,,,,
bkiScoutArmorLight,Scout armor is designed to make it easier to move and get around obstacles.\n--\nNote: This a can be equipped in the player inventory ([c][44ff00]TAB[-][/c]),,,,,,,,,,侦察装甲旨在让移动和绕过障碍物更容易。\n--\n注意：此装甲可以在玩家物品栏中装备（[c][44ff00]TAB[-][/c]）,,,,,,
ArmorLightCombat,Light Combat Armor,,,,,,,,,,轻型战斗装甲,,,,,,
bkiCombatArmorLight,"Combat Armor is reinforced to better protect the wearer from damage, and it is more durable.\n--\nNote: This a can be equipped in the player inventory ([c][44ff00]TAB[-][/c])",,,,,,,,,,战斗装甲经过强化，能更好地保护穿戴者免受伤害，并且更耐用。\n--\n注意：此装甲可以在玩家物品栏中装备（[c][44ff00]TAB[-][/c]）,,,,,,
ArmorMediumCombat,Medium Combat Armor,,,,,,,,,,中型战斗装甲,,,,,,
ArmorHeavyCombat,Heavy Combat Armor,,,,,,,,,,重型战斗装甲,,,,,,
bkiCombatArmor,"Combat Armor is reinforced to better protect the wearer from damage, and it is more durable.\n--\n[c][ff4040]Note: This armor requires an Armor Locker to equip.[-][/c]",,,,,,,,,,战斗装甲经过强化，能更好地保护穿戴者免受伤害，并且更耐用。\n--\n[c][ff4040]注意：此装甲需要装甲柜来装备。[-][/c],,,,,,
ArmorMediumEVO,Environmental Suit,,,,,,,,,,环境防护服,,,,,,
bkiEVOArmor,"Like a Space Suit, an environmental suit is tough to move around in, but it protects the wearer from nearly all environmental dangers including Heat, Cold, and Radiation. \n--\n[c][ff4040]Note: This armor requires an Armor Locker to equip.[-][/c]",,,,,,,,,,像太空防护服一样，环境防护服难以移动，但它能保护穿戴者免受几乎所有环境危险，包括高温、寒冷和辐射。\n--\n[c][ff4040]注意：此装甲需要装甲柜来装备。[-][/c],,,,,,
bkiComEVA,A powerful EVA booster made for extra vechicular combat. WARNING: Only Combat Armors can equip this Boost. Placing this Boost in a non-Combat Armor will destroy the Boost.,,,,,,,,,,一个强大的舱外活动增强器，用于舱外战斗。警告：只有战斗装甲可以装备此增强器。将本增强器放入非战斗装甲中会摧毁它。,,,,,,
FlightBoost,Flight Boost,,,,,,,,,,飞行增强器,,,,,,
bkiFltBoost,A powerful Jetpack Booster that canallow a jetpack to provide extra-vehicular flight. WARNING: Only Scout Armors can equip this boost. Placing this Boost in a non-Scout Armor will destroy the Boost.,,,,,,,,,,一个强大的喷气背包增强器，可以让喷气背包提供舱外飞行。警告：只有侦察装甲可以装备此增强器。将本增强器放入非侦察装甲中会摧毁它。,,,,,,
ArmorSpacesuit,Space Suit,,,,,,,,,,太空防护服,,,,,,
bkiSpacesuit,An environmental Suit intended for space walks. It provides Oxygen and protection against the elements of outer space (Cold and Radiation). \n--\n[c][ff4040]Note: This armor requires an Armor Locker to equip.[-][/c],,,,,,,,,,一种用于太空行走的环境防护服。它提供氧气并抵御外层空间的环境因素（寒冷和辐射）。\n--\n[c][ff4040]注意：此装甲需要装甲柜来装备。[-][/c],,,,,,
Sniper3,Anti-Matter Rifle,,,,,,,,,,反物质步枪,,,,,,
bkiSniper3,"The Anti-Matter Rifle is a long-range Anti-Material Sniper Rifle that uses explosive pentaxid-infused 'Anti-Matter Bullets' to disintegrate the hull of enemy ships and structures. While the name is misleading, as the rifle doesn't actually use antimatter, the result is similarly devastating to enemy vehicles and bases.",,,,,,,,,,反物质步枪是一种远程反器材狙击步枪，使用爆炸性的五氧化二钚浸渍“反物质子弹”来瓦解敌方飞船和建筑的结构。虽然名称具有误导性（该步枪实际上并不使用反物质），但其对敌方车辆和基地的破坏效果同样惊人。,,,,,,
Sniper3Bullet,Anti-Matter Bullet,,,,,,,,,,反物质子弹,,,,,,
GravityGeneratorSV,Small Gravity Generator,,,,,,,,,,小型重力发生器,,,,,,
ScoutRifle,Scout Rifle,,,,,,,,,,侦察步枪,,,,,,
ScoutRifleT2,Advanced Scout Rifle,,,,,,,,,,高级侦察步枪,,,,,,
bkiScoutRifle,"A marriage between an assault rifle and a sniper rifle, the scout rifle is equipped with the scope of a sniper rifle, but can fire just as fast as an assault rifle, but at a much longer range. While each shot doesn't deal as much damage as a sniper would, the scout rifle's high rate of fire can make short work of nearly any enemy from a distance.",,,,,,,,,,突击步枪与狙击步枪的结合体，侦察步枪配备了狙击步枪的瞄准镜，但射速与突击步枪一样快，且射程更远。虽然每发子弹的伤害不如狙击步枪，但其高射速可以从远距离快速解决几乎任何敌人。,,,,,,
ScoutSniper,Scout Sniper,,,,,,,,,,侦察狙击手,,,,,,
bkiScoutSniper,A sniper rifle with a high-powered scope that fires up to three shots in quick succession to quickly take down any foe.,,,,,,,,,,一把配备高倍瞄准镜的狙击步枪，可快速连续射击三发，迅速击倒任何敌人。,,,,,,
GhostShip,Ghost Ship,,,,,,,,,,鬼船,,,,,,
Mystery,Mysterious Energy,,,,,,,,,,神秘能量,,,,,,
TrashHeap,Trash Heap,,,,,,,,,,垃圾堆,,,,,,
Interspace,Interspace Salvage Industries,,,,,,,,,,星际废物回收工业,,,,,,
Raider,Asteroid Raiders,,,,,,,,,,小行星掠袭者,,,,,,
CloneChamber,Emergency Teleporter,,,,,,,,,,紧急传送器,,,,,,
CloneChamberHV,Emergency Teleporter (HV),,,,,,,,,,紧急传送器（HV）,,,,,,
CloneChamberSV,Emergency Teleporter (SV),,,,,,,,,,紧急传送器（SV）,,,,,,
bkiCloneChamber,Maintains a lock on your Emergency Teleport Chip and teleports you to it when you are severly wounded.,,,,,,,,,,锁定紧急传送芯片，当你受到重伤时，将你传送至芯片位置。,,,,,,
bkiMedicinelabMS,Restores health and has a built in Emergency Teleporter,,,,,,,,,,恢复生命值，并内置紧急传送器。,,,,,,
MedicStationHV,Medic Station (HV),,,,,,,,,,医疗站（HV）,,,,,,
MedicStationSV,Medic Station (SV),,,,,,,,,,医疗站（SV）,,,,,,
DeconStation,Decontamination Shower,,,,,,,,,,净化淋浴,,,,,,
bkiDeconStation,An advanced medical shower that cures all alements relating to radiation and parasites.,,,,,,,,,,一种先进的医疗淋浴，可治愈所有与辐射和寄生虫相关的疾病。,,,,,,
ChemicalX,EctoFuel,,,,,,,,,,外质燃料,,,,,,
bkiChemicalX,A type of fuel made from plant protein and a mysterious substance known as Ectoplasm.,,,,,,,,,,一种由植物蛋白和一种名为“外质”的神秘物质制成的燃料。,,,,,,
EnergyCellBattery,Power Cell,,,,,,,,,,能量电池,,,,,,
bkiEnergyCellBattery,"Stores energy from the Base in a portable Battery. NOTE: As storing the energy requires more energy than is stored, Power Cells are only useful when crafted in Solar-powered Bases.",,,,,,,,,,将基地的能量储存到便携电池中。注意：储存能量所需的能量多于储存的能量，因此能量电池仅在由太阳能驱动的基地中制造时有用。,,,,,,
TurretMSUltimateWeapon,Hellstorm Missile Turret,,,,,,,,,,地狱风暴导弹炮塔,,,,,,
JunkCannon,Junk Cannon,,,,,,,,,,垃圾加农炮,,,,,,
MSJunkCannon,Large Junk Cannon,,,,,,,,,,大型垃圾加农炮,,,,,,
TurretMSUltimateBlocks,Hellstorm Missile Turrets,,,,,,,,,,地狱风暴导弹炮塔,,,,,,
TurretMSUltimateRetract,Hellstorm Missile Turret (retracable),,,,,,,,,,地狱风暴导弹炮塔（可伸缩）,,,,,,
TurretMSUltimate,Hellstorm Missile Turret,,,,,,,,,,地狱风暴导弹炮塔,,,,,,
bkiTurretMSUltimateBlocks,"A rapid-fire Artillery Turret unleashes a barrage of hundreds of Hellfire Missiles down upon its target. -'And you will know my name is the Lord, When I lay my vengeance upon thee!'",,,,,,,,,,一种速射火炮炮塔，可向目标倾泻数百枚地狱火导弹。——“你将知道我的名是耶和华，当我将我的报复施加于你！”,,,,,,
UltimateRocketMS,Hellfire Missile,,,,,,,,,,地狱火导弹,,,,,,
SSRocketLauncherSV,Rapid-fire Rocket Launcher,,,,,,,,,,速射火箭发射器,,,,,,
RocketLauncherSSWeapon,Rapid-fire Rocket Launcher,,,,,,,,,,速射火箭发射器,,,,,,
bkiSSRocketLauncherSV,A modified Rocket Launcher that fires volleys of rockets in quick bursts.,,,,,,,,,,一种改进的火箭发射器，可快速连续发射多枚火箭。,,,,,,
ReusedFuel,Extracted Fuel,,,,,,,,,,提取燃料,,,,,,
bkiReusedFuel,"Fuel extracted from a small vehicle's Fuel Tank is an admixture of various energy sources. As such, it can only be reused in small vehicle Fuel Tanks.",,,,,,,,,,从小型飞船燃料箱中提取的燃料是一种多种能源的混合物。因此，它只能重新用于小型飞船燃料箱。,,,,,,
ReusedFuel2,Reclaimed Structure Fuel,,,,,,,,,,回收结构燃料,,,,,,
bkiReusedFuel2,"Fuel extracted from a Capital Vessel or Base's Fuel Tank is a toxic admixture of various energy sources. As such, it can only be reused in Capital Vessel or Base Fuel Tanks.",,,,,,,,,,从主力舰或基地燃料箱中提取的燃料是一种多种能源的有毒混合物。因此，它只能重新用于主力舰或基地燃料箱。,,,,,,
ReusedFuel3,Recycled Fuel,,,,,,,,,,回收燃料,,,,,,
bkiReusedFuel3,You can refine a combination of Extracted Fuel and Reclaimed Structure Fuel with Chemicals to create a Recycled Fuel usable by any type of vehicle (but not terrain placeables),,,,,,,,,,你可以将提取燃料和回收结构燃料与化学品混合精炼，制成可用于任何类型车辆（但不包括地形可安装设备）的回收燃料。,,,,,,
JunkScout1,,,,,,,,,,,,,,,,,
bkiJunkScout,,,,,,,,,,,,,,,,,
bkiJunkBike,"A deployable hover bike made from salvaged material. Once deployed, cannot be repackaged.  NOTE: Does NOT work in Multiplayer.",,,,,,,,,,一种可部署的悬浮摩托，由回收材料制成。一旦部署，无法重新打包。注意：不适用于多人模式。,,,,,,
JunkShuttle,Junk Shuttle,,,,,,,,,,垃圾穿梭机,,,,,,
bkiJunkShuttle,"A deployable Shuttle made from salvaged material, using an advanced Gravitic Thrust Drive, and can be upgraded to fit a variety of roles. Once deployed, it cannot be repackaged.  NOTE: Does NOT work in Multiplayer.",,,,,,,,,,一种可部署的穿梭机，由回收材料制成，采用先进的重力推进驱动，可升级以适应多种角色。一旦部署，无法重新打包。注意：不适用于多人模式。,,,,,,
ScoutCPUExtender,CPU Compressor,,,,,,,,,,CPU压缩器,,,,,,
ScoutCPUExtenderT2,Enhanced CPU Compressor,,,,,,,,,,增强型CPU压缩器,,,,,,
ScoutCPUExtenderT3,Advanced CPU Compressor,,,,,,,,,,高级CPU压缩器,,,,,,
bkiScoutCPU,Reduces the amount of CPU used by your ship by compressing electronic resources into smaller packets.,,,,,,,,,,通过将电子资源压缩成更小的数据包，减少飞船使用的CPU量。,,,,,,
ScoutAmmo,Scout Rifle Rounds,,,,,,,,,,侦察步枪弹,,,,,,
JunkRifle,Junk Rifle,,,,,,,,,,垃圾步枪,,,,,,
bkiJunkRifle,An improvised mechanical Rifle made from scrap metal. Fires shards of junk as ammo.,,,,,,,,,,一种用废金属制成的简易机械步枪。发射垃圾碎片作为弹药。,,,,,,
JunkAmmo,Junk Shard,,,,,,,,,,垃圾碎片,,,,,,
JunkTurret,Junk Turret,,,,,,,,,,垃圾炮塔,,,,,,
bkiJunkTurret,"A deployable turret that automatically targets enemies when powered. Requies Junk Shards as ammo. Once deployed, it cannot be repackaged.  NOTE: Intended for Single Player or Co-Op. Only Game Host can spawn in Co-Op. Does NOT work in Multiplayer.",,,,,,,,,,一种可部署的炮塔，通电后自动瞄准敌人。需要垃圾碎片作为弹药。一旦部署，无法重新打包。注意：适用于单人或合作模式。合作模式下仅游戏主机可生成。不适用于多人模式。,,,,,,
JunkShotgun,Shrapnel Shotgun,,,,,,,,,,弹片霰弹枪,,,,,,
bkiJunkShotgun,A Makeshift Shotgun built from scrap metal. Fires sharpnel made from Junk Shards.,,,,,,,,,,一种用废金属制成的简易霰弹枪。发射由垃圾碎片制成的弹片。,,,,,,
JunkAmmo2,Junk Shrapnel,,,,,,,,,,垃圾弹片,,,,,,
JunkAmmo3,Junk Cluster,,,,,,,,,,垃圾团块,,,,,,
JunkMinigun,Salvage Shredder,,,,,,,,,,回收碎纸机,,,,,,
bkiJunkMinigun,A Makeshift Minigun built from scrap metal. Fires shards of junk as ammo.,,,,,,,,,,一种用废金属制成的简易迷你机枪。使用垃圾碎片作为弹药。,,,,,,
JunkRocketLauncher,Rubbish Launcher,,,,,,,,,,垃圾发射器,,,,,,
bkiJunkRocketLauncher,A Makeshift Rocket Launcher built from scrap metal. Fires rockets made of rubbish as ammo.,,,,,,,,,,一种用废金属制成的简易火箭发射器。使用垃圾制成的火箭作为弹药。,,,,,,
JunkRocket,Rubbish Rocket,,,,,,,,,,垃圾火箭,,,,,,
bkiJunkRocket,A Rocket made of rubbish and refuse.,,,,,,,,,,一种由垃圾和废弃物制成的火箭。,,,,,,
Medikit08,Regeneration Shot,,,,,,,,,,再生注射,,,,,,
bkiMedikit08,"A biochemical admixture that causes the body to regenerate over time but also increases body radiation. (Heals about 5 health per second for 5 minutes, but increases Radiation .1 every 30 seconds.)",,,,,,,,,,一种生物化学混合物，能使身体随时间再生，但也会增加身体辐射。（每秒恢复约5生命值，持续5分钟，但每30秒增加0.1辐射。）,,,,,,
Explosives,Demolition Charge,,,,,,,,,,爆破炸药,,,,,,
MedicGunT2,Military Medical Infuser,,,,,,,,,,军用医疗注射器,,,,,,
bkiMedicGunT2,A more advanced version of the Medical injector which can also revitalize allies and hold many enemies at bay.,,,,,,,,,,一种更高级的医疗注射器，可以复活盟友并压制多个敌人。,,,,,,
Medikit09,MM Infusion,,,,,,,,,,军用注射剂,,,,,,
bkiMedikit09,"A powerful concoction intended to be used as an ammo charge for the Millitary Medical Infuser. \n--\n[c][ff0000]CAUTION:[-][/c] While direct injection can provide healing, this toxic admixture is radioactive when injected and can cause Fever, or Organ Failure which may lead to death.",,,,,,,,,,一种强效混合物，用作军用医疗注射器的弹药装填。\n--\n[c][ff0000]警告：[-][/c] 虽然直接注射可以治疗，但这种有毒混合物在注射时具有放射性，可能引起发烧或器官衰竭，导致死亡。,,,,,,
FakeEgg,Artificial Egg,,,,,,,,,,人造蛋,,,,,,
bkiFakeEgg,An artificially created egg substitute. Allow to Set for 30 minutes. Indistinguishable from a natural egg once set.,,,,,,,,,,一种人工合成的蛋替代品。静置30分钟即可凝固。凝固后与天然蛋无法区分。,,,,,,
FakeAlienTooth,Reconstituted Alien Tooth,,,,,,,,,,重组外星牙齿,,,,,,
bkiFakeAlienTooth,"Uses a combination of ingredients to tear apart and reconstitute an Alien Tooth to make more Alien Teeth. These can be used in place of Alien Teeth in any recipe, including to make more Reconstituted Alien Teeth.",,,,,,,,,,使用多种成分将外星牙齿分解并重组，制造出更多的外星牙齿。这些牙齿可在任何配方中替代外星牙齿使用，包括制造更多的重组外星牙齿。,,,,,,
OilRock,Oil Shale,,,,,,,,,,油页岩,,,,,,
bkiOilRock,Used to make Petroleum-based fuels (Gasoline and Diesel Fuel).,,,,,,,,,,用于制造石油基燃料（汽油和柴油燃料）。,,,,,,
DieselFuel,Diesel Fuel,,,,,,,,,,柴油燃料,,,,,,
bkiDieselFuel,Fuel created from Oil Shale that can be used in larger Generators (BA and CV Only).,,,,,,,,,,由油页岩制成的燃料，可用于大型发电机（仅限基地和主力舰）。,,,,,,
bkiGasoline,"Fuel created from Oil Shale that can be used in smaller Generators and Devices (HV, SV, and Terrain Placeables Only). Can be used as fuel for Chainsaws.",,,,,,,,,,由油页岩制成的燃料，可用于小型发电机和设备（仅限HV、SV和地形可安装设备）。也可作为电锯的燃料。,,,,,,
Promethanol,Promethium Fuel,,,,,,,,,,钷燃料,,,,,,
bkiPromethanol,A liquid fuel created by heating promethium to a high temperature and refining it.,,,,,,,,,,一种通过将钷加热至高温并精炼而成的液体燃料。,,,,,,
RiggedDetector,Improvised Ship Detector,,,,,,,,,,简易飞船探测器,,,,,,
bkiRiggedDetector,A hand-held Detector rigged to work in a small vehicle (SV or HV).,,,,,,,,,,一种手持探测器，改装后可用于小型车辆（SV或HV）。,,,,,,
TransportationBoost,Storage Boost,,,,,,,,,,存储增强,,,,,,
BioFuel,Treethanol,,,,,,,,,,木醇,,,,,,
bkiBioFuel,Bio Fuel created from Wood Planks that can be used as fuel with any fuel tank. Can be used as fuel for Chainsaws.,,,,,,,,,,由木板制成的生物燃料，可作为任何燃料箱的燃料。也可作为电锯的燃料。,,,,,,
