KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_WeWKc,"While in combat, you will take <color=#ff0000>damage </color>and suffer other <color=#ff0000>ill effects</color>. \n\n@w2 To survive, you'll need to craft <color=#006eff>medicines </color>that can heal you <color=#ff0000>injuries </color>and cure your <color=#ff0000>ailments</color>. \n\n@p9 Use your <color=#ffd500>Suit Constructor </color>located in your Inventory(<color=#00fbff>Tab</color>) to craft three <color=#006eff>bandages </color>and an <color=#006eff>antibiotic ointment</color>.\n@w5 Swamps are a useful place to look for <color=#006eff>medical ingredients</color>.",,,,,,,,,,在战斗中，你会受到<color=#ff0000>伤害</color>并遭受其他<color=#ff0000>不良效果</color>。\n\n@w2 为了生存，你需要制作<color=#006eff>药物</color>来治愈你的<color=#ff0000>创伤</color>并治好你的<color=#ff0000>疾病</color>。\n\n@p9 使用你物品栏（<color=#00fbff>Tab键</color>）中的<color=#ffd500>防护服建造机</color>制作三个<color=#006eff>绷带</color>和一个<color=#006eff>抗生素药膏</color>。\n@w5 沼泽是寻找<color=#006eff>医疗成分</color>的好地方。,,,,,,
dialogue_Ge4au,Sounds good!,,,,,,,,,,听起来不错！,,,,,,
dialogue_e6uue,Who doesn't love reprocessed plant protein?,,,,,,,,,,谁不喜欢再加工的植物蛋白呢？,,,,,,
dialogue_GSKAm,"One constant threat that many would-be survivors overlook is the need for <color=#ff6f00>food</color>. @w2 If you don't eat, you will get <color=#ff6f00>hungry </color>and eventually <color=#ff0000>starve</color>. \n\n@w4 There are many types of <color=#ff6f00>food </color>that grow naturally, but none more useful than <color=#ff6f00>plant protein</color>.\n\n@p9 Your <color=#ffd500>Suit Constructor</color> can process <color=#ff6f00>plant protein</color> into <color=#ff6f00>Energy Bars</color> that are a good source of <color=#ff6f00>food</color>.\n\n@p9 Craft three <color=#ff6f00>Energy Bars</color> to start building your food stocks.",,,,,,,,,,许多潜在的幸存者忽视的一个持续威胁是对<color=#ff6f00>食物</color>的需求。@w2 如果你不吃东西，你会感到<color=#ff6f00>饥饿</color>并最终<color=#ff0000>饿死</color>。\n\n@w4 有许多天然生长的<color=#ff6f00>食物</color>，但最有用的莫过于<color=#ff6f00>植物蛋白</color>。\n\n@p9 你的<color=#ffd500>防护服建造机</color>可以将<color=#ff6f00>植物蛋白</color>加工成<color=#ff6f00>能量棒</color>，是<color=#ff6f00>食物</color>的一个好来源。\n\n@p9 制作三个<color=#ff6f00>能量棒</color>开始建立你的食物储备。,,,,,,
dialogue_CqqmG,"The galaxy is filled with <color=#ffd500>junk</color>. @w2 From <color=#ffd500>derelict ships</color> floating through space, to <color=#ffd500>crashed vessels</color> and those abandoned as junk, the amount of <color=#ffd500>salvageable material</color> is extraordinary.\n\n@p9 In order to survive in this galaxy, you will need to learn how to make the most of even the most worthless looking pile of trash.\n\n@p9 The first step in turning trash into treasure is to <color=#ffd500>claim </color>a piece of <color=#ffd500>junk </color>for your own. In order to do so, you must first build a <color=#ffd500>core </color>using a <color=#ffd500>Portable Constructor</color>. Then you must place the <color=#ffd500>core </color>on the piece of <color=#ffd500>salvage </color>you want to claim. Once you learn how to do this, you will have all the necessary skills to survive.",,,,,,,,,,星系中充满了<color=#ffd500>垃圾</color>。@w2 从漂浮在</color>太空<color=#ffd500>中的<color=#ffd500>废弃飞船</color>，到<color=#ffd500>坠毁的飞船</color>和被当作垃圾抛弃的飞船，<color=#ffd500>可回收材料</color>的数量惊人。\n\n@p9 为了在这个星系中生存，你需要学会如何充分利用甚至是最不起眼的一堆垃圾。\n\n@p9 将垃圾变成宝藏的第一步是<color=#ffd500>认领</color>一件<color=#ffd500>垃圾</color>归你所有。要做到这一点，你必须首先使用<color=#ffd500>便携式建造机</color>建造一个<color=#ffd500>核心</color>。然后你必须将<color=#ffd500>核心</color>放置在你想要认领的<color=#ffd500>残骸</color>上。一旦你学会如何做到这一点，你将拥有所有必要的生存技能。,,,,,,
dialogue_0uuO0,"Let's get to it, then.",,,,,,,,,,那我们就开始吧。,,,,,,
dialogue_f8qsK,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_m8WCa,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_q8GOq,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_KiCqa,"@q0 Congratulations! @w4 You have finished Basic Training! @w4 Now you are ready to choose an area in which to Specialize. @w4 There are four types of specialties to choose from: \n@w4 <color=#59ff00>Combat</color>, <color=#ffc800>Engineering</color>, <color=#ff00f7>Exploration</color>, and <color=#006eff>Medical</color>.\n@w4 Each Specialization has its own perks.\n@p9 The <color=#59ff00>Combat Specialization</color> focuses on <color=#59ff00>fighting</color>. This specialization allows you to learn how to craft a wide variety of <color=#59ff00>weapons</color>, including both <color=#59ff00>hand-held</color> and <color=#59ff00>ship weapons</color> and <color=#59ff00>turrets</color>. The <color=#59ff00>Combat Specialization</color> has access to the toughest <color=#59ff00>armors</color>, as well as defensive devices, such as <color=#59ff00>Shield Generators</color>, for all manner of vessels and structures.\n \n@p9 Ultimately, the <color=#59ff00>Combat Specialization</color> would allow you to craft a powerful <color=#59ff00>vehicle weapons</color> like the <color=#59ff00>Hellstorm Turret</color> for a Capital Vessel that can rain down <color=#59ff00>Hellfire Missiles</color> upon <color=#ff0000>enemy troops</color> and <color=#ff0000>strongholds</color>, as well as superior <color=#59ff00>hand-held weapons</color> like the <color=#59ff00>Anti-Matter Rifle</color>, a power <color=#59ff00>Sniper Rifle</color> that can obliterate structural blocks and devices.\n\n@p9 The <color=#ffc800>Engineering Specialization</color> focuses on <color=#ffc800>construction </color>and <color=#ffc800>resource gathering</color>. While not suited for <color=#04ff00>combat </color>in almost any way, the <color=#ffc800>Engineering Specialization</color> allows you to craft advanced devices that are required for ships to fly, such as <color=#ffc800>Thrusters </color>and <color=#ffc800>RCSs</color>, as well as the ability to <color=#ffc800>craft vehicles from scratch</color> (without having to repair an existing vehicle).\n\n@p9 The <color=#ffc800>Engineering Specialization</color> also allows you to craft <color=#ffc800>CPU Extenders</color>, <color=#ffc800>Teleporters</color>, and <color=#ffc800>Repair Bays</color>, as well as higher-tier <color=#ffc800>fuel packs</color>, all of which would otherwise have to be scavenged from junk vessels. The <color=#ffc800>Engineering Specialization</color> also grants access to a variety of <color=#ffc800>tools</color>, including the <color=#ffc800>Multitool </color>and <color=#ffc800>Drill</color>, as well as all <color=#ffc800>resource gathering</color> devices, such as <color=#ffc800>auto-miners</color>, <color=#ffc800>vehicle drills</color> and <color=#ffc800>tools turrets</color>. \n\n@p9 Ultimately, the <color=#ffc800>Engineering Specialization</color> would allow you to craft powerful hand tools such as the <color=#ffc800>Master Multi-Tool</color> and the <color=#ffc800>Combat Drill</color>, a powerful <color=#ffc800>drill </color>that has an <color=#04ff00>Assault </color>mode that can <color=#59ff00>demolish </color>structural blocks and deal <color=#59ff00>significant damage</color> to <color=#ff0000>enemy troops</color> as well. Additionally, the <color=#ffc800>Engineering Specialization</color> gains access to special <color=#ffc800>Experimental Technology</color> including an <color=#ffc800>Advanced Warp Drive</color> that not only has a much longer warp range than a regulars <color=#ffc800>Warp Drive</color>, but also uses much less <color=#ffc800>Warp Fuel</color> when warping between systems.\n\n@p9 The <color=#ff00f7>Exploration Specialization</color> allows you to craft all manor of <color=#ff00f7>exploration </color>and <color=#ff00f7>detection devices</color>, such as ship <color=#ff00f7>Detectors</color>. They can also build a <color=#ff00f7>Scout Vessel</color> from scratch, and equip it with a unique <color=#ffc800>gravity-based thrust system</color> not suited for larger vessels, but perfect for light <color=#ff00f7>scout vessels</color>, in addition to a <color=#ffc800>Mid-Range Warp Drive</color> for small vessels that can travel interstellar. They can craft unique hand-held <color=#59ff00>Scout Rifles </color><color=#04ff00></color>which are a combination of a <color=#04ff00>sniper </color>and an <color=#04ff00>assault rifle</color>, and gain access to <color=#04ff00>armor </color>that is much easier to move in than others. \n\n@p9 Ultimately, the <color=#ff00f7>Exploration Specialization</color> would allow you to craft a powerful <color=#ff00f7>Long-Range Detector</color> for a Small Vessel that can <color=#ff00f7>scan </color>an entire planet or sector, and a <color=#ff00f7>Deep Space Radar</color> that can not only <color=#ff00f7>scan</color>, but <color=#ff00f7>identify </color>objects and vehicles at extreme ranges.\n\n@p9 The <color=#006eff>Medical Specialization</color> allows you to craft a large variety of advanced <color=#006eff>Medicines </color>and <color=#006eff>Medical Devices</color> for ships and bases, as well as a <color=#006eff>Medical Injector</color> which allows you to heal your allies in the field. The <color=#006eff>Medical Specialization</color> also allows you to craft <color=#006eff>Medical Augments</color>, which are one-use items that grant you semi-permanent increases to one or more of your core attributes (Health, Stamina, Food), as well as providing additional effects such as <color=#006eff>Health Regeneration</color>, <color=#ff00f7>Movement Speed</color> increases, and even Temperature Regulation. The bonuses granted by an <color=#006eff>Augment </color>last until either another <color=#006eff>Augment </color>is applied or you 'die'. \n\n@p9 Ultimately, the <color=#006eff>Medical Specialization</color> would allow you to craft a powerful <color=#006eff>Medical Injector</color> that can also <color=#006eff>recharge </color>an ally's stamina, and has a '<color=#04ff00>Stun Beam</color>' that deals small amounts of <color=#04ff00>damage</color>, but can keep many foes at bay. (Stuns Players in PvP as well).\n\n@p9 Once you have selected your specialization, you can begin to gain ranks in that Specialization by opening your PDA (<color=#00fbff>F1</color>) and activating the corresponding Rank 1 Mission.\n\n@p9 Once you reach Rank 3 in any Specialization, you will be offered the chance to complete an Advanced Training course, which will allow you to select an additional specialization if you wish, or you can gain 500 UP to help you unlock your specialization's high-tier items or devices.\n\n@p9 Once you reach Rank 5 in any Specialization, you will be allowed  to select an additional specialization if you wish, or you can gain 500 UP to help you unlock your specialization's high-tier items or devices.\n\n@p9 Which Specialization would you like to start with?",,,,,,,,,,"@q0 恭喜！ @w4 你已完成基础训练！ @w4 现在你可以选择一个领域进行专精。 @w4 有四种专精可供选择： \n@w4 <color=#59ff00>战斗</color>, <color=#ffc800>工程</color>, <color=#ff00f7>探索</color>, 和 <color=#006eff>医疗</color>.\n@w4 每个专精都有其独特的特长。\n@p9 <color=#59ff00>战斗专精</color>侧重于<color=#59ff00>战斗</color>。该专精允许你学习制造各种<color=#59ff00>武器</color>，包括<color=#59ff00>手持</color>和<color=#59ff00>飞船武器</color>以及<color=#59ff00>炮塔</color>。 <color=#59ff00>战斗专精</color>可以使用最坚固的<color=#59ff00>装甲</color>，以及防御装置，如<color=#59ff00>护盾发生器</color>，适用于各种飞船和建筑。\n \n@p9 最终，<color=#59ff00>战斗专精</color>将允许你制造强大的<color=#59ff00>载具武器</color>，如用于主力舰的<color=#59ff00>地狱风暴炮塔</color>，可以向<color=#ff0000>敌军</color>和<color=#ff0000>据点</color>倾泻<color=#59ff00>地狱火导弹</color>，以及卓越的<color=#59ff00>手持武器</color>，如<color=#59ff00>反物质步枪</color>，一种强大的<color=#59ff00>狙击步枪</color>，能够摧毁结构方块和装置。\n\n@p9 <color=#ffc800>工程专精</color>侧重于<color=#ffc800>建造 </color>和<color=#ffc800>资源采集</color>。虽然几乎不适合<color=#04ff00>战斗 </color>，但<color=#ffc800>工程专精</color>允许你制造飞船飞行所需的高级装置，如<color=#ffc800>推进器 </color>和<color=#ffc800>RCS</color>，以及<color=#ffc800>从头制造载具</color>的能力（无需修理现有载具）。\n\n@p9 <color=#ffc800>工程专精</color>还允许你制造<color=#ffc800>CPU扩展器</color>、<color=#ffc800>传送器</color>和<color=#ffc800>修理坞</color>，以及更高级的<color=#ffc800>燃料包</color>，否则这些只能从废弃飞船中回收。 <color=#ffc800>工程专精</color>还提供各种<color=#ffc800>工具</color>，包括<color=#ffc800>多功能工具 </color>和<color=#ffc800>钻头</color>，以及所有<color=#ffc800>资源采集</color>装置，如<color=#ffc800>自动采矿机</color>、<color=#ffc800>载具钻头</color>和<color=#ffc800>工具炮塔</color>。 \n\n@p9 最终，<color=#ffc800>工程专精</color>将允许你制造强大的手持工具，如<color=#ffc800>大师级多功能工具</color>和<color=#ffc800>战斗钻头</color>，一种强大的<color=#ffc800>钻头 </color>，具有<color=#04ff00>突击 </color>模式，可以<color=#59ff00>摧毁 </color>结构方块并对<color=#ff0000>敌军</color>造成<color=#59ff00>显著伤害</color>。此外，<color=#ffc800>工程专精</color>可以使用特殊的<color=#ffc800>实验技术</color>，包括<color=#ffc800>高级翘曲引擎</color>，其翘曲范围远大于普通<color=#ffc800>翘曲引擎</color>，而且在星系间翘曲时消耗更少的<color=#ffc800>翘曲燃料</color>。\n\n@p9 <color=#ff00f7>探索专精</color>允许你制造各种<color=#ff00f7>探索 </color>和<color=#ff00f7>探测装置</color>，如飞船<color=#ff00f7>探测器</color>。他们还可以从头建造一艘<color=#ff00f7>侦察飞船</color>，并配备独特的<color=#ffc800>重力推进系统</color>，不适合大型飞船，但非常适合轻型<color=#ff00f7>侦察飞船</color>，此外还有用于小型飞船的<color=#ffc800>中程翘曲引擎</color>，可以进行星际旅行。他们可以制造独特的手持<color=#59ff00>侦察步枪 </color><color=#04ff00></color>，是<color=#04ff00>狙击枪 </color>和<color=#04ff00>突击步枪</color>的结合体，并可获得<color=#04ff00>装甲 </color>，其移动更加灵活。 \n\n@p9 最终，<color=#ff00f7>探索专精</color>将允许你为小型飞船制造强大的<color=#ff00f7>远程探测器</color>，可以<color=#ff00f7>扫描 </color>整个星球或星区，以及<color=#ff00f7>深空雷达</color>，不仅能<color=#ff00f7>扫描</color>，还能在极远距离<color=#ff00f7>识别 </color>物体和载具。\n\n@p9 <color=#006eff>医疗专精</color>允许你制造各种高级<color=#006eff>药品 </color>和<color=#006eff>医疗装置</color>用于飞船和基地，以及<color=#006eff>医疗注射器</color>，可以在战场上治疗盟友。 <color=#006eff>医疗专精</color>还允许你制造<color=#006eff>医疗增强体</color>，这是一种一次性物品，可永久提升一项或多项核心属性（生命、耐力、食物），并提供额外效果，如<color=#006eff>生命恢复</color>、<color=#ff00f7>移动速度</color>提升，甚至温度调节。 <color=#006eff>增强体 </color>提供的加成持续到另一个<color=#006eff>增强体 </color>被应用或你“死亡”。 \n\n@p9 最终，<color=#006eff>医疗专精</color>将允许你制造强大的<color=#006eff>医疗注射器</color>，还可以<color=#006eff>补充 </color>盟友的耐力，并具有“<color=#04ff00>眩晕光束</color>”，造成少量<color=#04ff00>伤害</color>，但可以牵制许多敌人。（在PvP中也能眩晕玩家）。\n\n@p9 一旦你选择了专精，你可以通过打开PDA（<color=#00fbff>F1</color>）并激活相应的第一级任务来提升该专精的等级。\n\n@p9 一旦你在任何专精中达到3级，你将有机会完成高级训练课程，如果你愿意，可以选择额外的专精，或者获得500 UP以帮助你解锁专精的高级物品或装置。\n\n@p9 一旦你在任何专精中达到5级，你将可以选择额外的专精（如果你愿意），或者获得500 UP以帮助你解锁专精的高级物品或装置。\n\n@p9 你希望从哪个专精开始？",,,,,,
dialogue_iiCa4,Unlock Combat,,,,,,,,,,解锁战斗,,,,,,
dialogue_0W408,Specialty Advancement Subroutine: Highly Advanced (SASHA),,,,,,,,,,专精进阶子程序：高阶版 (SASHA),,,,,,
dialogue_04K6v,"As an <color=#ffc800>Engineer</color>, your job is to equip, maintain and upgrade your ships and structures. \n@w2 In order to gain Ranks in <color=#ffc800>Engineering</color>, you must either craft or salvage the devices necessary to do your job. Regardless of how you obtain the devices, you must place the devices on the appropriate structure type in order to successfully gain your ranks.\n\n@p9 Your first task as an <color=#ffc800>Engineer </color>will be to add <color=#ffc800>power generation</color> and <color=#ffc800>construction </color>capabilities to a Base or Capital Vessel. Doing this will allow you to craft more advanced devices for use on your structures and vessels.\n\n@p9 Place a <color=#ffc800>power generator</color> (Either a <color=#ffc800>Generator</color> or <color=#ffc800>Solar Capacitor</color>) and a <color=#ffc800>fuel source</color> (Either a <color=#ffc800>Fuel Tank</color> or a <color=#ffc800>Solar Panel</color>) on a Base or Capital Vessel. @w6 Then place a <color=#ffc800>Small Constructor</color>. @w4 Finally, use the <color=#ffc800>Small Constructor</color> to craft a <color=#ffc800>Large Constructor</color> which can be used to craft all manner of advanced devices.",,,,,,,,,,作为一名<color=#ffc800>工程师</color>，你的工作是装备、维护和升级你的飞船与建筑结构。\n@w2 为了在<color=#ffc800>工程学</color>中获得等级，你必须制作或拆解完成工作所需的设备。无论你如何获得设备，都必须将设备放置在合适的结构类型上才能成功升级。\n\n@p9 你作为<color=#ffc800>工程师 </color>的第一个任务是为主力舰或基地添加<color=#ffc800>发电</color>和<color=#ffc800>建造 </color>能力。这样做将允许你制作更高级的设备，用于你的建筑结构和飞船。\n\n@p9 在基地或主力舰上放置一个<color=#ffc800>发电机</color>（可以是<color=#ffc800>发电机</color>或<color=#ffc800>太阳能电容器</color>）和一个<color=#ffc800>燃料源</color>（可以是<color=#ffc800>燃料罐</color>或<color=#ffc800>太阳能板</color>）。@w6 然后放置一个<color=#ffc800>小型建造机</color>。@w4 最后，使用<color=#ffc800>小型建造机</color>制作一个<color=#ffc800>大型建造机</color>，它可以用来制作各种高级设备。,,,,,,
dialogue_SeKa6,Let's get to it.,,,,,,,,,,我们开始吧。,,,,,,
dialogue_8hu40,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_4CG0i,"One of the key factors in <color=#ffc800>resource gathering</color> is the ability to get around without having to walk everywhere. Hover Vessels are very useful for traveling to and from <color=#ffc800>resource locations</color> and for hauling larger amounts of <color=#ffc800>raw resources</color> to your base. \n\n@p9 As an <color=#ffc800>Engineer</color>, you have the ability to <color=#ffc800>build </color>Hover Vessels from scratch, and to <color=#ffc800>craft the devices</color> needed for a Hover Vessel to work. @w4 Build or Salvage a Hover Vessel that is capable of helping you traverse the terrain of the planet.\n\n@p9 To do this, you must place four <color=#ffc800>Hover Engines</color> and four <color=#ffc800>Small Thrusters</color> on a Hover Vessel. @w2 You can salvage these off of the many junk hover vessels in the junkyards around the planet, or <color=#ffc800>build them yourself</color>.",,,,,,,,,,在<color=#ffc800>资源收集</color>中，一个关键因素是能够不依赖步行四处移动。悬浮飞船对于往返<color=#ffc800>资源地点</color>以及将大量<color=#ffc800>原始资源</color>运回你的基地非常有用。\n\n@p9 作为一名<color=#ffc800>工程师</color>，你有能力<color=#ffc800>从零建造</color>悬浮飞船，并<color=#ffc800>制作设备</color>来让悬浮飞船运作。@w4 建造或拆解一艘能够帮助你穿越星球地形的悬浮飞船。\n\n@p9 要做到这一点，你必须在悬浮飞船上放置四个<color=#ffc800>悬浮引擎</color>和四个<color=#ffc800>小型推进器</color>。@w2 你可以从星球周围废料场中的许多废弃悬浮飞船上拆解这些部件，或者<color=#ffc800>自己建造它们</color>。,,,,,,
dialogue_aHGsi,Walking everywhere <i>was </i>getting a little tiresome.,,,,,,,,,,到处步行<i>已经</i>变得有点麻烦了。,,,,,,
dialogue_WeEK8,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_eePQa,"Small Vessels are the key to traveling off world to find more <color=#ffc800>resources </color>to gather. @w2 In space, there could be asteroids with <color=#ffc800>valuable resources</color>, and other planets may even have <color=#ffc800>surface deposits</color>. @w4 However, your primary source of <color=#ffc800>resources </color>in space will be the various <color=#ffc800>Ship Graveyards</color> that can be found around the galaxy. \n\n@p9 In order to get there, however, you'll need a vehicle <color=#ffc800>capable of flight</color>. As an <color=#ffc800>Engineer</color>, you have the ability to <color=#ffc800>build </color>Small Vessels from scratch, and to <color=#ffc800>craft the devices</color> needed for a Small Vessel to fly. @w4 Build or Salvage a Small Vessel that is capable of taking you into space. @w2 One with enough <color=#ffc800>cargo space</color> to help you transport things back would be nice.\n\n@p9 To do this, you must place four <color=#ffc800>Small Thrusters</color> and two <color=#ffc800>Medium Thrusters</color> on a Small Vessel. @w2 You can salvage these off of the junk small vessels in the junkyards around the planet, or <color=#ffc800>build them yourself</color>.",,,,,,,,,,小型飞船是离开星球旅行的关键，可以寻找更多<color=#ffc800>资源</color>进行采集。@w2 在太空中，可能会有富含<color=#ffc800>珍稀资源</color>的小行星，其他星球甚至可能有<color=#ffc800>地表矿藏</color>。@w4 然而，你在太空中的主要<color=#ffc800>资源</color>来源将是遍布星系的各类<color=#ffc800>飞船坟场</color>。\n\n@p9 不过，要抵达那里，你需要一艘<color=#ffc800>能够飞行</color>的载具。作为一名<color=#ffc800>工程师</color>，你有能力<color=#ffc800>从零开始建造</color>小型飞船，并<color=#ffc800>制作</color>小型飞船飞行所需的设备。@w4 建造或修复一艘能够将你带入太空的小型飞船。@w2 如果有足够的<color=#ffc800>货舱空间</color>来帮助你往回运输物资就更好了。\n\n@p9 要做到这一点，你必须在小型飞船上安装四个<color=#ffc800>小型推进器</color>和两个<color=#ffc800>中型推进器</color>。@w2 你可以从星球周围的垃圾场中的废弃小型飞船上拆解这些东西，或者<color=#ffc800>自己制造</color>它们。,,,,,,
dialogue_mq0IC,They Can't take the sky from me!!,,,,,,,,,,他们休想夺走我的天空！！,,,,,,
dialogue_Cqaeq,"Even with a Capital Vessel at your disposal, it's occasionally necessary to store <color=#ffc800>resources </color>and valuables in a safe location.\n\n@w8 Abandoned space stations can be found throughout the galaxy. One of these would make a perfect base of operations, if it were <color=#ffc800>repaired</color>. If you find a suitable <color=#ffc800>Derelict Orbital Station</color>, you should try to <color=#ffc800>repair it</color> and turn it into your base of operations. If you have an ally who specializes in <color=#ff00f7>Exploration</color>, this could help out immensely.\n\n@w6 Locate a <color=#ffc800>Derelict Orbital Station</color> and <color=#ffc800>make it an operational base</color>.",,,,,,,,,,即使有主力舰可供使用，有时也需要将<color=#ffc800>资源</color>和贵重物品存放在安全的地方。\n\n@w8 废弃空间站遍布星系。如果能够<color=#ffc800>修复</color>，其中一个将是一个绝佳的操作基地。如果你找到合适的<color=#ffc800>废弃空间站</color>，你应该尝试<color=#ffc800>修复它</color>并将其变为你的操作基地。如果你有一个专精于<color=#ff00f7>探索</color>的盟友，这将大有裨益。\n\n@w6 找到一个<color=#ffc800>废弃空间站</color>并<color=#ffc800>将其变成一个可运作的基地</color>。,,,,,,
dialogue_mOeuS,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_kqKG0,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_OQ8DY,Salvage And Survival Handy Assistant (SASHA),,,,,,,,,,打捞与生存便捷助手（SASHA）,,,,,,
dialogue_SaW40,{PlayerName}! It seems that there is a strange transmission stuck in the station's Receiver. It seems to have originated on a Zirax frequency.\n\n@w4 The Lines of Code are as follows:\n@w2 <color=#ffc800>0223402252023230</color>\n@w2 <color=#ffc800>0245403242033250</color>\n@w2 <color=#ffc800>0352203545042320</color>\n@w2 <color=#ffc800>0425504532052340</color>\n@w2 <color=#ffc800>0524205342054350</color>\n\n@p9 These codes have been uploaded to your PDA. You can open your PDA and view them at any time.,,,,,,,,,,{PlayerName}！看来有一个奇怪的信号卡在了空间站的接收器里。它似乎源自兹瑞克斯的频率。\n\n@w4 代码行如下：\n@w2 <color=#ffc800>0223402252023230</color>\n@w2 <color=#ffc800>0245403242033250</color>\n@w2 <color=#ffc800>0352203545042320</color>\n@w2 <color=#ffc800>0425504532052340</color>\n@w2 <color=#ffc800>0524205342054350</color>\n\n@p9 这些代码已上传到你的PDA。你可以随时打开PDA查看。,,,,,,
dialogue_GWaKC,I wonder what they mean.,,,,,,,,,,我想知道它们是什么意思。,,,,,,
