KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_KOalue0,"@q0 @d1 Broke the last good drill. Now there just the <b><color=#ff8000>Cursed Tool</color></b> left.\n@w1\nI will not touch that...\n@w1\nBut for <b>Squishies </b>like you, it will be good.",,,,,,,,,,@q0 @d1 弄坏了最后一个好钻头。现在只剩下<b><color=#ff8000>诅咒工具</color></b>了。\n@w1\n我不会碰那东西……\n@w1\n但对你这样的<b>软蛋</b>来说，它正合适。,,,,,,
dialogue_KCpaOq8,... Cursed ...?,,,,,,,,,,……被诅咒了……？,,,,,,
dialogue_80iiWKm,"Ok, will do. <i> <color=#ffffff>[Leave]</color></i>",,,,,,,,,,好的，会照做。<i> <color=#ffffff>[Leave]</color></i>,,,,,,
dialogue_AqmSm80,@q0 @d1 Captain likes it.\n@w1\n I cannot comprehend.\n@w1\nOne of his more ... @w1 <color=#ffffff>strange 'collections'</color>. @w1 I suppose... @w1...,,,,,,,,,,@q0 @d1 船长喜欢它。\n@w1\n 我无法理解。\n@w1\n他那些更…… @w1<color=#ffffff>奇怪的‘收藏品’</color>之一。 @w1 我想…… @w1……,,,,,,
dialogue_OigeOqs,<i>(( Is Galleon staring at me ...? ))</i>,,,,,,,,,,<i>(( 加利昂在盯着我吗……？ ))</i>,,,,,,
dialogue_jqKm8aW,@q0 @d1 It talks. \n@w1\nA lot.\n@w1\nIn my head.,,,,,,,,,,@q0 @d1 它会说话。 \n@w1\n说很多。\n@w1\n在我脑子里。,,,,,,
dialogue_GSaWesK,"@q0 @d1 I finally made a <color=#ffffff>farm</color>. \n@w1\nIt is <i><b>perfect</b></i>. @w2 \nSprouts have all it needs. Pots, Light. @w1\nBut it does not work. @w1 Why.",,,,,,,,,,@q0 @d1 我终于建了一个<color=#ffffff>农场</color>。 \n@w1\n它<i><b>完美</b></i>。 @w2 \n幼苗要什么有什么。花盆、光照。 @w1\n但它就是不行。 @w1 为什么。,,,,,,
dialogue_u8aqeuu,You are frustrated again. You are exploding things.,,,,,,,,,,你又沮丧了。你在炸东西。,,,,,,
dialogue_8acmKCu,>>,,,,,,,,,,>>,,,,,,
dialogue_Cua8W8e,"@q0 @d1 Find out what hinders the plant's construction process.\n@w2 \nFarm has <b>no oxygen.</b> @w1 <color=#ffffff><color=#ffff00>Suit up</color>. </color>\n@w1 - Put on an a<b> spacewalk</b> <color=#ffffff>booster</color>, too.",,,,,,,,,,@q0 @d1 找出是什么阻碍了植物的生长过程。\n@w2 \n农场<b>没有氧气。</b> @w1 <color=#ffffff><color=#ffff00>穿上防护服</color>。 </color>\n@w1 - 再带上一个<b>太空行走</b><color=#ffffff>助推器</color>。,,,,,,
dialogue_CaGCame,Ok. <i><color=#ffffff>[End]</color></i>,,,,,,,,,,好的。<i><color=#ffffff>[End]</color></i>,,,,,,
dialogue_e0mO674,@q0 @d1\nYou again.,,,,,,,,,,@q0 @d1\n又是你。,,,,,,
dialogue_GKYGqaK,Galleon,,,,,,,,,,加利昂,,,,,,
dialogue_W4Ga8me,The Human...,,,,,,,,,,那个人类……,,,,,,
dialogue_ee8qaOm,"I do have a name, you know...?",,,,,,,,,,我有名字，你知道……？,,,,,,
dialogue_uqqaq0q,What is it...?,,,,,,,,,,怎么了……？,,,,,,
dialogue_oSOi8CC,@q0 The Human...,,,,,,,,,,@q0 那个人类……,,,,,,
dialogue_KOimaSe,Galleon,,,,,,,,,,加利昂,,,,,,
dialogue_Gi44quK,It's open to <i>space</i>...? No wonder it does not grow!,,,,,,,,,,它向<i>太空</i>敞开着……？难怪它长不出来！,,,,,,
dialogue_iuaaiul,"@q0 @d1 I know.\n\n@w1 You have that sensor in your squishy skull. @w1\nIt will help you, to find the <color=#ffffff>leak</color>.",,,,,,,,,,@q0 @d1 我知道。\n\n@w1 你那个柔软的头颅里有传感器。 @w1\n它会帮你找到<color=#ffffff>漏气的地方</color>。,,,,,,
dialogue_4ma4eY0,Don't you have one yourself?,,,,,,,,,,你自己没有吗？,,,,,,
dialogue_0uqKmew,"Ok, let's go. <i><color=#ffffff>[End]</color></i>",,,,,,,,,,好，我们走。<i><color=#ffffff>[End]</color></i>,,,,,,
dialogue_O4aSaS4,"@q0 @d1 \nMine <b>broke </b>years ago.\n\n@w2 In this profession, hull breaches are very<i> easy</i> to spot.",,,,,,,,,,@q0 @d1 \n我的<b>坏掉</b>很多年前就坏了。\n\n@w2 在这个行当里，船体破洞是很容易<i> </i>发现的。,,,,,,
dialogue_4CG8SGe,"Ok, let's go.",,,,,,,,,,好，我们走。,,,,,,
dialogue_OOS0S0e,<color=#ffffff><b>Fleet Command</b></color>,,,,,,,,,,<color=#ffffff><b>舰队指挥部</b></color>,,,,,,
dialogue_USqCJKC,<color=#ff8000><b>Galleon</b></color>,,,,,,,,,,<color=#ff8000><b>加利昂</b></color>,,,,,,
dialogue_iLOq5CK,@q0 @d1\nIt's effort-adjusted salary.,,,,,,,,,,@q0 @d1\n这是按劳分配的薪酬。,,,,,,
dialogue_uLKG0i4,>>,,,,,,,,,,>>,,,,,,
dialogue_eG08qmO,"@q0 @d1\nYou will see for yourself. @w1\nIt is outside, waiting in a box.",,,,,,,,,,@q0 @d1\n你会亲眼看到的。 @w1\n它就在外面，在箱子里等着。,,,,,,
dialogue_84Ku6CO,... How did you find the fleet?,,,,,,,,,,……你是怎么找到舰队的？,,,,,,
dialogue_iSeCei8,@q0 @d1\n\nJust the usual. \n@w1 Signals. @w1 Contacts. @w1 Rumors...,,,,,,,,,,@q0 @d1\n\n就那些常规的。 \n@w1 信号。 @w1 联系。 @w1 传闻……,,,,,,
dialogue_4CaeOSw,>>,,,,,,,,,,>>,,,,,,
dialogue_iqSC80u,@q0 @d1\n\n... Offers on Slave market. @w1 Exotics black market. @w1 Morgues. @w1 <i>Zoos...</i>\nWherever a human should be expected.,,,,,,,,,,@q0 @d1\n\n…… 奴隶市场的报价。 @w1 异域黑市。 @w1 太平间。 @w1 <i>动物园……</i>\n任何可能有人类出现的地方。,,,,,,
dialogue_iiqu8ru,In a grand mood today...?,,,,,,,,,,今天心情不错……？,,,,,,
dialogue_0SmiGWm,This ship has no holding cells.,,,,,,,,,,这艘飞船没有牢房。,,,,,,
dialogue_YeUWeq4,"@q0 @d1\nYeah. @w2 \n\nI would prefer to sell <b>exotic art</b>, instead of exotic people.",,,,,,,,,,@q0 @d1\n是啊。 @w2 \n\n我宁愿卖<b>异域艺术品</b>，也不愿卖异域人。,,,,,,
dialogue_KAOmWWi,>>,,,,,,,,,,>>,,,,,,
dialogue_okWWa0S,@q0 @d1\nSome of your stuff could go into a <color=#ffffff>Polaris board</color> meeting room. \n@w2\nThey like it 'quaint'.,,,,,,,,,,@q0 @d1\n你的一些东西可以放到<color=#ffffff>极星理事会</color>的会议室里。 \n@w2\n他们喜欢那种‘古雅’的东西。,,,,,,
dialogue_C8ma04K,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_iQSaK8G,"@q0 @d1\nSo, listen up, both of you. \n\n@w1- <i><color=#ffffff>Ship's been hit</color>,</i> @w1 - wrong spot, @w1 - <b>all tragic</b>.\n\n@w1- <color=#ffffff>Ammo is cooking</color> off.",,,,,,,,,,@q0 @d1\n所以，你们俩听好了。\n\n@w1- <i><color=#ffffff>飞船被击中了</color></i>， @w1 - 位置不对， @w1 - <b>真是悲剧</b>。\n\n@w1- <color=#ffffff>弹药在殉爆</color>。,,,,,,
dialogue_uCCIso2,>>,,,,,,,,,,>>,,,,,,
dialogue_vSmQKim,"@q0 @d1\nYou don't trust me, I don't trust <i>anyone,</i> - @w1 - <color=#ffffff>We have to LEAVE</color>, NOW.",,,,,,,,,,@q0 @d1\n你不信任我，我谁都不信，- @w1 - <color=#ffffff>我们必须离开</color>，现在。,,,,,,
dialogue_CO8sWG4,>>,,,,,,,,,,>>,,,,,,
dialogue_qGSq8ia,"@q0 @d1 \nWait,<i> what the</i> – @w1  - <b>Galleon</b>?!",,,,,,,,,,@q0 @d1 \n等等，<i>什么</i>——@w1 - <b>加利昂</b>？！,,,,,,
dialogue_G80B0CS,>>,,,,,,,,,,>>,,,,,,
dialogue_aS00Yu4,@q0 @d1 \nCurse you ...,,,,,,,,,,@q0 @d1 \n诅咒你……,,,,,,
dialogue_8q4KgOC,>>,,,,,,,,,,>>,,,,,,
dialogue_OukSqSa,"@q0 @d1 \n- Human, @w1 the <b>ship is lost</b>. @w1 <color=#ffffff>Get to the teleporter ! </color>\n@w1\n<i>Meet you at the other side</i>… !",,,,,,,,,,@q0 @d1 \n- 人类， @w1 这艘<b>飞船完了</b>。 @w1 <color=#ffffff>快到传送器那里！ </color>\n@w1\n<i>我们在另一边见</i>……！,,,,,,
dialogue_GqC4Kem,<i>(( End of transmission </i><i>))</i>,,,,,,,,,,<i>(( 通讯结束 </i><i>))</i>,,,,,,
dialogue_8CYCqC6,<color=#ff8000>(( <b>Galleon</b> ))</color>,,,,,,,,,,<color=#ff8000>(( <b>加利昂</b> ))</color>,,,,,,
dialogue_xS4US00,>>,,,,,,,,,,>>,,,,,,
dialogue_WqSmB8S,>>,,,,,,,,,,>>,,,,,,
dialogue_i0GYwmm,<color=#c0c0c0>Ex-</color><b><color=#0080ff>Captain</color></b>,,,,,,,,,,<color=#c0c0c0>前任</color><b><color=#0080ff>船长</color></b>,,,,,,
dialogue_eiWiWi8,"@q0 @d1 \n<b>Welcome back</b>, Soldier!\n\n@w1 These two... <i><color=#ffffff>local Traders</color></i>  here, insist that you can navigate us out of this battle.\n\n@w1 And we are running out of <b>options</b>.",,,,,,,,,,@q0 @d1 \n<b>欢迎回来</b>，士兵！\n\n@w1 这两位…… <i><color=#ffffff>当地商人</color></i> 坚持说你能带我们脱离这场战斗。\n\n@w1 而且我们快没有<b>办法</b>了。,,,,,,
dialogue_W4KWa8e,<i>[ Exit & Main <color=#ffffff>Pilot seat unlocked</color> ]</i>,,,,,,,,,,<i>[ 退出 & 主<color=#ffffff>飞行员座椅已解锁</color> ]</i>,,,,,,
dialogue_GKai0aK,@q0 @d1\n... Then <color=#ffff00>take your seat</color>.\n@w1\n Get us out of here.,,,,,,,,,,@q0 @d1\n……那么<color=#ffff00>就座吧</color>。\n@w1\n 带我们离开这里。,,,,,,
dialogue_uaSCq40,@q0 @d1 Farm lost too much <b>oxygen</b>.\n@w1\nGo outside.<color=#ffffff> Collect Ice.  </color>\nOne-hundred units. We need that.,,,,,,,,,,@q0 @d1 农场失去了太多<b>氧气</b>。\n@w1\n到外面去。<color=#ffffff>收集冰块。</color> \n一百个单位。我们需要那些。,,,,,,
dialogue_4iSuS8i,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_OCa8C0a,"@q0 @d1 \n@w1 For a moment, there, your <color=#ffffff>skin </color>looked so much<color=#ffffff> <i>healtiher</i></color>...!\n\n@w1 But you were making all those strange noises and gestures...",,,,,,,,,,@q0 @d1 \n@w1 那一刻，你的<color=#ffffff>皮肤</color>看起来如此<color=#ffffff><i>健康</i></color>……！\n\n@w1 但你一直在发出那些奇怪的声音和做出奇怪的手势……,,,,,,
dialogue_suaKiB8,"@q0 @d1 \nGalleon doesn't tell... but he is <b>worried</b>.\n\n@w1 That it might have <b>done you a bit too good</b>, there.",,,,,,,,,,@q0 @d1 \n加利昂不说……但他<b>很担心</b>。\n\n@w1 担心那地方可能<b>对你太好了</b>。,,,,,,
dialogue_u00Ciqu,"@q0 @d1\nBut you are back. And I see, your <b>head-fur</b> has been ever growing!\n<i></i>\n- ... You do <color=#ffffff>remember</color> all this, yes...?",,,,,,,,,,@q0 @d1\n但是你回来了。而且我看到，你的<b>头毛</b>一直在长！\n<i></i>\n- …… 你确实<color=#ffffff>记得</color>这一切，对吧……？,,,,,,
dialogue_umCuWiS,Yes,,,,,,,,,,是的,,,,,,
dialogue_iWm4KqW,Totally,,,,,,,,,,完全正确,,,,,,
dialogue_8mWKisq,Of course!,,,,,,,,,,当然！,,,,,,
dialogue_o8OaWQS,All clear.,,,,,,,,,,一切正常。,,,,,,
dialogue_WrWCaKW,"@q0 @d1\nGreat. @w1\n\nThen<b> lets do this </b>here. - We deliver our cargo. \nAfter that, we all can make landfall. Relax at a nice beach, or something ...",,,,,,,,,,@q0 @d1\n太好了。 @w1\n\n那我们<b>就在这里搞定</b>。 - 我们交货。 \n之后，我们就可以着陆了。在漂亮的海滩上放松一下，或者什么的……,,,,,,
dialogue_4WWeeqW,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_ee0WqG0,@q0 @d1\nIt is your <color=#ffffff>human <b>fleet</b></color>. \n@w1 I think we found it. - Nearby.,,,,,,,,,,@q0 @d1\n那是你的<color=#ffffff>人类<b>舰队</b></color>。 \n@w1 我想我们找到了。- 就在附近。,,,,,,
dialogue_aau4SaW,>>,,,,,,,,,,>>,,,,,,
dialogue_aq8KO4D,>>,,,,,,,,,,>>,,,,,,
dialogue_8Smmm0a,"@q0 @d1 \nIt was just a delicious <b>alien spike lemon!</b> <i>- - Sharpens the mind!</i>\n\n- Galleon had to <b>tap you</b> a bit.. ,  to get you <b>calm </b>again.",,,,,,,,,,@q0 @d1 \n那只是个美味可口的<b>外星尖刺柠檬！</b> <i>- - 提神醒脑！</i>\n\n- 加利昂不得不<b>轻拍你</b>一下……， 让你<b>冷静</b>下来。,,,,,,
dialogue_C7CmCei,'Tapping' ? - Seems more like 'inflicted a closed fracture' ...,,,,,,,,,,'轻拍'？ - 更像是'造成了闭合性骨折'……,,,,,,
dialogue_CmYa4Km,>>,,,,,,,,,,>>,,,,,,
dialogue_qn0EsS0,'Spike lemon' ... I don't feel so well ...,,,,,,,,,,'尖刺柠檬'……我感觉不太舒服……,,,,,,
dialogue_aiOmaOI,"@q0 @d1\n- Now <i>please</i><color=#ffffff> <color=#ffff00>help Galleon</color></color>, before he <b>triggers</b> our cargo ... !",,,,,,,,,,@q0 @d1\n- 现在<i>请</i><color=#ffffff><color=#ffff00>帮帮加利昂</color></color>，在他<b>引爆</b>我们的货物之前……！,,,,,,
dialogue_a0SW8e8,"@q0 @d1\n... @w1well, <color=#ffffff>curse </color>you ...!\n@w1\n... Why, Human, ... why did we even let you on board ... ?!",,,,,,,,,,@q0 @d1\n…… @w1好吧，<color=#ffffff>诅咒</color>你……！\n@w1\n…… 为什么，人类，…… 我们当初为什么要让你上船……？！,,,,,,
dialogue_OiSCKOS,>>,,,,,,,,,,>>,,,,,,
dialogue_eqaaSeI,"@q0 @d1 \nThen, get going<i>, </i>Human. @w1\n<i><b>Earn </b>your ride.</i>\n@w1<i></i>\nOne day, we might <b>find </b>your <color=#ffffff>home fleet</color> .",,,,,,,,,,@q0 @d1 \n那么，出发吧，<i> </i>人类。 @w1\n<i><b>赚取</b>你的船票。</i>\n@w1<i></i>\n总有一天，我们或许能<b>找到</b>你的<color=#ffffff>母舰队</color>。,,,,,,
dialogue_GuCOiOi,... What happened to me?,,,,,,,,,,……我遭遇了什么？,,,,,,
dialogue_eSOiqia,Where is the fleet now ?,,,,,,,,,,舰队现在在哪？,,,,,,
dialogue_WieGmq0,(...),,,,,,,,,,(……),,,,,,
dialogue_8UeaqaX,>>,,,,,,,,,,>>,,,,,,
dialogue_Km18umu,"... There is a <b>problem</b> with that, right?",,,,,,,,,,……那好像有点<b>问题</b>，对吧？,,,,,,
dialogue_Cii4qUC,@q0 @d1 \n'Connecting to subspace network ...'\n@w1 <i>- </i>'Successful. Your Network ID is ...' - \n@w1 - [ <b>Incoming call</b> detected ],,,,,,,,,,@q0 @d1 \n'正在连接子空间网络……'\n@w1 <i>- </i>'成功。您的网络ID是……' - \n@w1 - [ <b>检测到呼入</b> ],,,,,,
dialogue_aW0aC8q,>>,,,,,,,,,,>>,,,,,,
dialogue_CRQC8Ae,"@q0 @d1  \n<i>- <color=#ffffff>Human</color>, is that you ... ?!</i>\n@w1 <i>Incredible! - <color=#ffffff>You made it</color>! </i>\n@w1 <i>But - <b>how.</b>..</i>",,,,,,,,,,@q0 @d1 \n<i>- <color=#ffffff>人类</color>，是你吗……？！</i>\n@w1 <i>难以置信！ - <color=#ffffff>你成功了</color>！ </i>\n@w1 <i>但是 - <b>怎么。</b>..</i>,,,,,,
dialogue_i4mGq8W,>>,,,,,,,,,,>>,,,,,,
dialogue_GeWW0qW,"@q0 @d1 \n<i>- talk to you later. -  @w1 - Oh, and if you <color=#ff8000>warp back</color>,  just try to avoid the local Zirax !\nGalleon, if you would be so kind - ...</i>  <i></i><color=#ffffff>[ Explosions ]</color>",,,,,,,,,,@q0 @d1 \n<i>- 回头再聊。 - @w1 - 哦，如果你<color=#ff8000>翘曲回去</color>，尽量避开当地的兹瑞克斯！\n加利昂，如果你能行个方便 - ...</i> <i></i><color=#ffffff>[ 爆炸声 ]</color>,,,,,,
dialogue_QmI8a04,>>,,,,,,,,,,>>,,,,,,
dialogue_aCu4880,\n@q0 @d1 @w1 ...\n@w1 <i>'</i>Timeout reached. <b>Connection failed</b> after 1500 retries. - Stopping.',,,,,,,,,,\n@q0 @d1 @w1 ...\n@w1 <i>'</i>超时。在1500次重试后<b>连接失败</b>。 - 终止。',,,,,,
dialogue_r4Kue4O,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[ 离开控制台 ]</i>,,,,,,
dialogue_8mh8iwK,@d1 \n<i>'Cannot re-establish connection. Network failure. - Stopping.'</i>,,,,,,,,,,@d1 \n<i>'无法重新建立连接。网络故障。 - 终止。'</i>,,,,,,
dialogue_Cqaia0W,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[ 离开控制台 ]</i>,,,,,,
dialogue_Ki0Km8C,<color=#c0c0c0>Console</color>,,,,,,,,,,<color=#c0c0c0>控制台</color>,,,,,,
dialogue_LiK4W8K,>>,,,,,,,,,,>>,,,,,,
dialogue_GSO4uqK,"@q0 @d1  \n<i>... <b>How </b>did you even end up </i>@w1 <i> ... in <b>that system</b> ?  - Spaceship teleporters don't reach that far?!</i>\n\n@w1 <i>No matter. - <color=#ffff00>Get on a ship</color>, ... somehow? And we'll <color=#ffff00>meet up</color> back here at '<color=#ffffff>Heka Artemis</color>' star system. </i>\n@w1 <i>Your fleet is here.</i>",,,,,,,,,,@q0 @d1 \n<i>……你到底是怎么 </i>@w1<i>……出现在<b>那个星系</b>的？  - 飞船传送器可到不了那么远？！</i>\n\n@w1 <i>不过没关系。 - <color=#ffff00>找艘船</color>，…… 随便用什么办法？然后我们在'<color=#ffffff>赫卡·阿尔忒弥斯</color>'星系这边<color=#ffff00>汇合</color>。 </i>\n@w1 <i>你的舰队在这里。</i>,,,,,,
dialogue_aqK8SGK,Ready.,,,,,,,,,,准备好了。,,,,,,
dialogue_ewqCiGC,Yes.,,,,,,,,,,是的。,,,,,,
dialogue_Ou88eGK,Of course,,,,,,,,,,当然,,,,,,
dialogue_u5Gqaqu,@q0 @d1 \nYour profile lists you as <b>pilot</b>... \n\n@w1 ... Are you still able to<color=#ffffff> <color=#ffff00>fly</color> <color=#ffff00>such a vessel</color></color> ?,,,,,,,,,,@q0 @d1 \n你的档案显示你是<b>飞行员</b>……\n\n@w1 …… 你还能<color=#ffffff><color=#ffff00>驾驶</color><color=#ffff00>这样的飞船</color></color>吗？,,,,,,
dialogue_YCmwOWu,Totally,,,,,,,,,,完全正确,,,,,,
dialogue_ueSiaOO,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_CmeWsGG,"@q0 @d1\nPilot seat, at the front.",,,,,,,,,,@q0 @d1\n飞行员座椅，在前面。,,,,,,
dialogue_KNSiOue,"@d1 \nGreetings, {PlayerName}\n\n@w1 So, you made it.\n\n@w1 You <u><i>are</i></u> a <color=#ffffff>pilot</color>, right...?",,,,,,,,,,@d1 \n你好，{PlayerName}\n\n@w1 这么说，你成功了。\n\n@w1 你<u><i>确实</i></u>是个<color=#ffffff>飞行员</color>，对吧……？,,,,,,
dialogue_4bOMC8k,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_Y0mQG08,@w1\n{PlayerName} !\n\n@w1 Glad to see you again. And in good health.\n... We have waited for you.,,,,,,,,,,@w1\n{PlayerName}！\n\n@w1 很高兴再次见到你，而且你身体安康。\n……我们已经等你很久了。,,,,,,
dialogue_C8Kmama,@w1\nHow the times have changed...,,,,,,,,,,@w1\n时代真是变了……,,,,,,
dialogue_W8ameue,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
